ticker,quarter,cik
AVGO,2024Q1,1730168
AVGO,2024Q2,1730168
AVGO,2024Q3,1730168
AVGO,2024Q4,1730168
AVY,2020Q1,8818
AVY,2020Q2,8818
AVY,2020Q3,8818
AVY,2020Q4,8818
AVY,2021Q1,8818
AVY,2021Q2,8818
AVY,2021Q3,8818
AVY,2021Q4,8818
AVY,2022Q1,8818
AVY,2022Q2,8818
AVY,2022Q3,8818
AVY,2022Q4,8818
AVY,2023Q1,8818
AVY,2023Q2,8818
AVY,2023Q3,8818
AVY,2023Q4,8818
AVY,2024Q1,8818
AVY,2024Q2,8818
AVY,2024Q3,8818
AVY,2024Q4,8818
AWK,2020Q1,1410636
AWK,2020Q2,1410636
AWK,2020Q3,1410636
AWK,2020Q4,1410636
AWK,2021Q1,1410636
AWK,2021Q2,1410636
AWK,2021Q3,1410636
AWK,2021Q4,1410636
AWK,2022Q1,1410636
AWK,2022Q2,1410636
AWK,2022Q3,1410636
AWK,2022Q4,1410636
AWK,2023Q1,1410636
AWK,2023Q2,1410636
AWK,2023Q3,1410636
AWK,2023Q4,1410636
AWK,2024Q1,1410636
AWK,2024Q2,1410636
AWK,2024Q3,1410636
AWK,2024Q4,1410636
AXON,2023Q2,1069183
AXON,2023Q3,1069183
AXON,2023Q4,1069183
AXON,2024Q1,1069183
AXON,2024Q2,1069183
AXON,2024Q3,1069183
AXON,2024Q4,1069183
AXP,2020Q1,4962
AXP,2020Q2,4962
